Spanish,English
inflación; la inflación,inflation
recesión; la recesión,recession
déficit; el déficit,deficit; shortfall
auge; el auge,boom; peak
incertidumbre; la incertidumbre,uncertainty
estabilidad; la estabilidad,stability
previsión; la previsión,forecast; foresight
recorte; el recorte,cut (budget); trimming
rescate; el rescate,bailout; rescue
poder adquisitivo; el poder adquisitivo,purchasing power; spending power
aumento; el aumento,increase; pay rise
caída; la caída,fall; drop
escasez; la escasez,shortage; scarcity
lujo; el lujo,luxury
divisa; la divisa,foreign currency
tipo de cambio; el tipo de cambio,exchange rate
tipo de interés; el tipo de interés,interest rate
préstamo; el préstamo,loan
hipoteca; la hipoteca,mortgage
crédito; el crédito,credit; loan
quiebra; la quiebra,bankruptcy
saldo; el saldo,balance (account); net result
transferencia; la transferencia,transfer
cuenta corriente; la cuenta corriente,current account
cajero; el cajero,cashier; cash machine
aval; el aval,guarantee; guarantor
recaudación; la recaudación,tax revenue; takings
fluctuación; la fluctuación,fluctuation; swing
cuota; la cuota,instalment; membership fee
tarifa; la tarifa,rate; fare
comisión; la comisión,commission; fee
importe; el importe,amount; sum
coste; el coste,cost
tasa; la tasa,rate; fee
porcentaje; el porcentaje,percentage
cifra; la cifra,figure; number
índice; el índice,index; rate
margen; el margen,margin
ganancia; la ganancia,profit; gain
pérdida; la pérdida,loss
balance; el balance,balance sheet; overall outcome
contabilidad; la contabilidad,accounting; bookkeeping
contable; el contable,accountant
auditoría; la auditoría,audit
patrimonio; el patrimonio,assets; heritage
fondo; el fondo,fund; bottom
inversión; la inversión,investment
inversor; el inversor,investor
accionista; el accionista,shareholder
acción; la acción,share (stock); action
bono; el bono,bond; voucher
rentabilidad; la rentabilidad,profitability; return
financiación; la financiación,funding; financing
subvención; la subvención,subsidy; grant
prestación; la prestación,state benefit; service
declaración; la declaración,statement; tax return
arancel; el arancel,tariff; customs duty
exportación; la exportación,export
importación; la importación,import
globalización; la globalización,globalization
sanción; la sanción,penalty; sanction
estafa; la estafa,scam; fraud
indemnización; la indemnización,compensation; severance pay
aseguradora; la aseguradora,insurance company
póliza; la póliza,insurance policy
prima; la prima,bonus; insurance premium
incentivo; el incentivo,incentive
salario mínimo; el salario mínimo,minimum wage
hora extra; la hora extra,overtime hour
multinacional; la multinacional,multinational company
cooperativa; la cooperativa,cooperative
filial; la filial,subsidiary company
fusión; la fusión,merger; fusion
adquisición; la adquisición,acquisition; purchase
junta; la junta,board; assembly
consejero; el consejero,board member; adviser
fundador; el fundador,founder
directivo; el directivo,executive; senior manager
gerente; el gerente,manager
ejecutivo; el ejecutivo,executive
supervisor; el supervisor,supervisor
encargado; el encargado,person in charge; shift manager
asesor; el asesor,adviser; consultant
consultor; el consultor,consultant
representante; el representante,representative; agent
portavoz; el portavoz,spokesperson
agente; el agente,agent; officer
empleador; el empleador,employer
contribuyente; el contribuyente,taxpayer
ayudante; el ayudante,assistant; helper
asistente; el asistente,assistant; attendee
jerarquía; la jerarquía,hierarchy
vacante; la vacante,vacancy; job opening
aspirante; el aspirante,applicant; candidate
contratación; la contratación,hiring; recruitment
dimisión; la dimisión,resignation
jubilado; el jubilado,retired person; pensioner
desempleado; el desempleado,unemployed person
teletrabajo; el teletrabajo,remote work
cualificación; la cualificación,qualification
directriz; la directriz,guideline; directive
trámite; el trámite,procedure; formality
papeleo; el papeleo,paperwork; red tape
burocracia; la burocracia,bureaucracy
expediente; el expediente,file; record
formulario; el formulario,form
firma; la firma,signature; firm
acta; el acta,minutes (of a meeting); official record
convocatoria; la convocatoria,official call; announcement
asistencia; la asistencia,attendance; assistance
justificante; el justificante,receipt; written proof
borrador; el borrador,draft; eraser
fecha límite; la fecha límite,deadline
seguimiento; el seguimiento,follow-up; monitoring
indicador; el indicador,indicator
certificado; el certificado,certificate
licencia; la licencia,licence; leave
permiso; el permiso,permit; leave; permission
local; el local,premises; shop unit
cláusula; la cláusula,clause
trato; el trato,deal; treatment
compromiso; el compromiso,commitment; obligation
motivación; la motivación,motivation
iniciativa; la iniciativa,initiative
trayectoria; la trayectoria,career path; trajectory
albañil; el albañil,bricklayer; builder
sindicalista; el sindicalista,trade unionist
electricista; el electricista,electrician
informático; el informático,IT specialist
diseñador; el diseñador,designer
traductor; el traductor,translator
intérprete; el intérprete,interpreter; performer
editor; el editor,editor; publisher
perito; el perito,expert; assessor
capataz; el capataz,foreman; overseer
contratista; el contratista,contractor
camionero; el camionero,lorry driver
transportista; el transportista,haulier; freight carrier
asalariado; el asalariado,wage earner; salaried employee
promotor; el promotor,promoter; property developer
suplente; el suplente,stand-in; substitute
pescador; el pescador,fisherman
minero; el minero,miner
agricultor; el agricultor,farmer
ganadero; el ganadero,livestock farmer
remuneración; la remuneración,remuneration; pay
evasión fiscal; la evasión fiscal,tax evasion
portero; el portero,doorman; goalkeeper
vigilante; el vigilante,security guard
militar; el militar,serviceman; soldier
fiscal; el fiscal,public prosecutor
notario; el notario,notary
economista; el economista,economist
banquero; el banquero,banker
investigador; el investigador,researcher
tramitar,to process (an application); to deal with
abaratar,to make cheaper; to lower the price
cuidador; el cuidador,carer; caregiver
artesano; el artesano,craftsman
repartidor; el repartidor,delivery driver
mensajero; el mensajero,courier; messenger
conserje; el conserje,caretaker; concierge
mercado laboral; el mercado laboral,labour market
propietario; el propietario,owner
casero; el casero,landlord
comerciante; el comerciante,trader; shopkeeper
mayorista; el mayorista,wholesaler
minorista; el minorista,retailer
distribuidor; el distribuidor,distributor
intermediario; el intermediario,middleman
consumidor; el consumidor,consumer
competidor; el competidor,competitor
fabricante; el fabricante,manufacturer
productor; el productor,producer
patrocinador; el patrocinador,sponsor
mercancía; la mercancía,goods; merchandise
inventario; el inventario,inventory; stock
suministro; el suministro,supply
logística; la logística,logistics
pedido; el pedido,order (purchase)
encargo; el encargo,order; assignment
envío; el envío,shipment; dispatch
reparto; el reparto,delivery; distribution
entrega; la entrega,delivery; handover
envase; el envase,container; packaging
etiqueta; la etiqueta,label; tag
catálogo; el catálogo,catalogue
mostrador; el mostrador,counter
clientela; la clientela,customers; clientele
estancamiento; el estancamiento,stagnation; standstill
subasta; la subasta,auction
cotización; la cotización,price quote; share price
facturación; la facturación,turnover; billing
garantía; la garantía,warranty; guarantee
devolución; la devolución,return; refund
reembolso; el reembolso,refund; reimbursement
reclamación; la reclamación,complaint; claim
queja; la queja,complaint; grumble
atención al cliente; la atención al cliente,customer service
promoción; la promoción,special offer; promotion
encuesta; la encuesta,survey; poll
reputación; la reputación,reputation
prestigio; el prestigio,prestige
feria; la feria,trade fair; funfair
franquicia; la franquicia,franchise
patente; la patente,patent
monopolio; el monopolio,monopoly
comercio electrónico; el comercio electrónico,e-commerce
inmobiliaria; la inmobiliaria,estate agency
inmueble; el inmueble,property; building
materia prima; la materia prima,raw material
maquinaria; la maquinaria,machinery
fabricación; la fabricación,manufacturing
producción; la producción,production; output
construcción; la construcción,construction; building
infraestructura; la infraestructura,infrastructure
sector; el sector,sector
agricultura; la agricultura,agriculture; farming
ganadería; la ganadería,livestock farming
minería; la minería,mining industry
comercio exterior; el comercio exterior,foreign trade
hostelería; la hostelería,hospitality trade
financiar,to finance; to fund
endeudarse,to get into debt
