English,Definition
abide,to accept a rule or decision and follow it
aboard,on or onto a ship plane or train
absent,not there; missing from a place
absorb,to take in a liquid or gas; to take in information
accent,the way people from a place say words; a mark over a letter
acceptance,the act of agreeing to take or receive something
accessible,easy to reach or enter; easy to get or use
accessory,an extra item added to something to make it better or nicer
acclaim,strong public praise for someone or something
accommodate,to have enough space for people or things; to do what someone needs
accomplishment,something done successfully after effort
accordingly,in a way that suits the situation; for that reason
accountant,a person whose job is keeping and checking money records
accumulate,to grow in amount over time; to gather more and more of something
accuracy,being exactly right and free of mistakes
accurately,in a way that is exactly right and without mistakes
accustom,to make someone used to something new
activate,to make a machine or system start working
actively,in a busy energetic way with real effort
actress,a woman who performs in plays or films
adapter,a device that lets one piece of equipment work with another
additionally,as well; besides what has been said
adhere,to stick firmly to a surface; to follow a rule closely
adjacent,next to something; very close beside it
administer,to manage a company or system; to give medicine or a test
administrative,relating to the running and paperwork of an organization
administrator,a person who manages the daily running of an organization
admission,being allowed to enter a place; saying that something is true
advancement,movement to a higher job or a better stage
advertiser,a company or person who pays to promote goods to the public
advisable,sensible and wise to do
advisor,a person who gives expert help and opinions
advisory,giving expert opinions and warnings rather than orders
affirmative,saying yes; agreeing that something is true
affordable,cheap enough for people to pay for
afterward,later; at a time following something else
airfare,the price of a plane ticket
airplane,a flying machine with wings and engines
airport,a place where planes take off and land
aisle,a passage between rows of seats or shelves
alert,quick to notice things and ready to act; a warning about danger
alike,very similar to each other; in the same way
allergy,a bad reaction of the body to a food or substance
allocate,to give out money or time for a special purpose
alternate,to change back and forth between two things; every second one
alternatively,instead; as another possible choice
amateur,doing something for fun and not for money
ambassador,a country's top official sent to live and work in another country
ambitious,strongly wanting success; needing great effort to achieve
amenity,a useful or pleasant feature of a place such as a pool
ample,more than enough; plenty of space or amount
amuse,to make someone laugh or smile
anew,again; starting once more from the beginning
anniversary,a date each year when you remember an event from the past
announcer,a person who reads news or introduces shows on radio or TV
annoy,to make someone slightly angry
annually,once every year
antique,old and valuable because of its age
anyhow,in any case; in a careless way
anytime,at any moment; whenever you like
apology,words saying you are sorry for a mistake
appendix,extra material at the end of a book; a small organ in the body
appetizer,a small dish eaten before the main course
apple,a round firm fruit with red or green skin
appliance,a machine for the home such as a fridge or a washer
applicable,able to be used in a certain case; suited to the situation
applicant,a person who asks in writing for a job or a place
appraisal,a judgment of how good or how valuable something is
appreciation,thanks and understanding of real value; a rise in worth
apprehensive,worried that something bad may happen
apprentice,a young worker learning a trade from a skilled person
approximate,almost correct but not exact
arc,a curved line or shape like part of a circle
architect,a person who designs buildings
architectural,relating to the design of buildings
archive,a store of old records and documents
artistic,showing skill and beauty in creative work
asleep,resting with your eyes closed and not awake
aspect,one part or side of a situation or idea
assemble,to put parts together to make something; to gather in a group
assembly,a large meeting of people; the joining of parts into a whole
assignment,a piece of work given to someone to do
assurance,a promise that makes someone feel certain
athletic,strong and good at sport
attain,to reach a goal after effort
attendant,a worker who serves or helps people in a public place
attendee,a person who goes to a meeting or an event
attire,clothes worn for a particular occasion
attorney,a lawyer who acts for someone in legal matters
auction,a public sale where goods go to the highest bidder
audit,an official check of a company's money records
audition,a short test performance to get a part in a show
auditor,a person who officially checks money records
auditorium,a large hall where people sit to watch a show
authentic,real and genuine; not a copy
authority,the power to give orders; an official group in charge
authorization,official permission to do something
authorize,to give official permission for something
auto,a car especially in American English
automate,to make a machine do a job instead of a person
automatic,working by itself without a person; happening without thought
automobile,a road vehicle with four wheels and its own engine
automotive,relating to cars and their industry
availability,how much of something can be had or used
await,to expect something and stay ready until it comes
backpack,a bag with two straps that you carry on your shoulders
bacteria,very small living things that can cause disease
badge,a small sign worn to show who you are or where you work
baggage,the cases and suitcases you take when traveling
bake,to cook food in an oven
baker,a person who makes bread and cakes
bakery,a shop that makes and sells bread and cakes
balcony,a platform outside an upper window with a rail
balloon,a light rubber bag filled with air for parties
ballroom,a very large hall used for formal dancing
banker,a person with a senior job in finance and money lending
bankrupt,officially unable to pay the money you owe
bankruptcy,the legal state of not being able to pay money you owe
banquet,a large formal meal for many guests
barbecue,a meal cooked outdoors over a fire
bargain,something bought cheaply; to discuss a price until both sides agree
baseball,a team game played with a bat and four corners to run round
basement,the floor of a building below ground level
basket,a container made of woven straw or wire
basketball,a team game where two sides try to score in a high hoop
bathroom,a place in a house with a toilet and a sink for washing
battery,a small object that stores power for a device
bean,a seed eaten as food that grows in a long pod
beforehand,earlier than a planned event; in advance
beginner,a person who has just started to learn something
behalf,in place of someone; for the good of someone
bench,a long hard seat for several people
beneficial,helpful and good for you
beverage,a drink of any kind
bicycle,a two-wheeled vehicle you ride by pushing pedals
biography,the story of a real person's life written by someone else
biology,the science of living things
birthday,the date each year that marks when a person was born
blanket,a thick cloth cover to keep you warm in bed
blueprint,a detailed technical drawing or plan for a building
boardroom,a formal meeting place where company directors sit together
bonus,extra money paid for good work
bookcase,a piece of furniture with shelves for holding reading material
booklet,a small thin set of printed pages with a paper cover
bookstore,a shop selling novels and other printed works
booth,a small closed space for one person; a stand at a fair or show
bound,certain to happen; traveling towards a place
brainstorm,to think of many new ideas quickly in a group
brake,a part that makes a vehicle slow down or stop
briefcase,a flat bag with a handle for carrying work papers
broaden,to make something wider or larger
brochure,a thin printed guide with pictures about a product or place
broker,a person who buys and sells things for other people
broom,a brush with a long handle for sweeping floors
browse,to look through things without a clear plan
buffet,a meal where guests serve themselves from a table
bug,a small insect; a fault in a computer program
bulb,a glass part that gives light; a round plant root
bulk,a large amount or size; bought in large quantities
bulletin,a short official news report or notice
businessman,a man who works in trade or runs a company
businessperson,a neutral word for someone who works in trade or runs a company
butter,a soft yellow food made from cream and spread on bread
by-law,a rule made by a local council or a club for its members
bye,a short friendly word said when leaving someone
cab,a car with a driver you pay to take you somewhere
cabin,a small simple wooden house; the passenger area of a plane
cabinet,a cupboard with doors for storing things; a group of top ministers
cafeteria,a self-service restaurant in a school or workplace
café,a small place selling drinks and light meals
cage,a box of bars for keeping animals or birds
calculation,working out an answer with numbers
calculator,a small machine used for working out numbers
calendar,a chart showing the days and months of a year
caller,a person who telephones you
campus,the land and buildings of a college or university
cancellation,the ending of a plan or booking before it happens
candy,a small sweet food made mostly of sugar
captain,the person in charge of a ship or a sports team
careless,not paying enough attention; making silly mistakes
cargo,goods carried by ship or plane
carpenter,a person who makes things from wood
carrier,a company that moves goods or people
cart,a small vehicle with wheels for moving goods by hand
carton,a light box of card for holding food or drink
cartridge,a small container of ink or gas that fits into a machine
cashier,a worker who takes payments in a shop
casual,relaxed and not formal; not regular or planned
cater,to supply food and drink for an event
caterer,a company that supplies food and drink for events
caution,great care taken to avoid danger; a warning
cautious,very careful to avoid risk or danger
ceiling,the surface above your head in a room; an upper limit
celebrity,a very famous person
cellphone,a small wireless device you carry to make calls
centimeter,a unit of length equal to one hundredth of a meter
certificate,an official paper proving a fact or a qualification
certification,the official act of proving that a standard is met
certify,to state officially that something is true or safe
chairperson,someone who leads a meeting or a company board
charitable,kind and generous in giving help to people in need
checkout,the place in a shop where you pay; the act of leaving a hotel
checkup,a general medical test to see if you are healthy
cheer,to shout happily in support; to make someone feel better
cheeseburger,a hot sandwich of grilled beef in a bun with a melted slice on top
chef,a trained cook in charge of a restaurant kitchen
chemistry,the science of substances and how they react
chilly,cold enough to feel uncomfortable
chronic,lasting a long time and hard to cure
cinema,a building where films are shown to the public
circuit,a closed path for electricity; a route that goes round
circulate,to move around a system; to pass news to many people
circulation,the flow of blood or air round a system; the number of copies sold
circus,a traveling show with clowns and animals
clap,to hit your hands together to show you like something
clarify,to make something easier to understand
classify,to put things into groups by type
classmate,a person who studies in the same group as you
cleaner,a person whose job is to make places tidy; a washing liquid
cleanliness,the state of being free from dirt
clerk,an office worker who keeps records or serves customers
client,a person who pays for a service from a business
clinic,a small place where people go for medical treatment
clip,a small object for holding papers together; a short piece of film
closet,a small cupboard or tiny room for storing clothes
closure,the shutting of a place for good; a feeling of an ending
cloth,material made by weaving cotton or wool
cloudy,with much gray sky and little sun
clue,a piece of information that helps solve a problem
collaboration,the act of working together on a task
collector,a person who gathers items of one kind; someone taking payment
