Spanish,English
entonces,then; so
así,like this; so
además,besides; moreover
aunque,although; even though
sin embargo,however
por eso,therefore; that's why
por ejemplo,for example
es decir,that is; in other words
mientras,while; meanwhile
durante,during
según,according to
sino,but rather
pues,well; then
incluso,even
quizás,maybe; perhaps
tal vez,maybe; perhaps
a lo mejor,maybe; perhaps
seguramente,surely; probably
realmente,really
de repente,suddenly
por fin,finally; at last
enseguida,right away
de nuevo,again
otra vez,again
casi,almost
apenas,barely; hardly
bastante,quite; enough
suficiente,enough
solamente,only
especialmente,especially
generalmente,generally
normalmente,normally; usually
rápidamente,quickly
fácilmente,easily
probablemente,probably
afortunadamente,fortunately
actualmente,currently; nowadays
finalmente,finally
inmediatamente,immediately
exactamente,exactly
completamente,completely
totalmente,totally
sobre todo,above all; especially
en general,in general
al final,in the end
al principio,at first
a menudo,often
en cambio,on the other hand
por supuesto,of course
sin duda,without a doubt
o sea,in other words
cada vez,each time
de vez en cuando,from time to time
menos mal,thank goodness; luckily
ya que,since; because
en realidad,actually; in fact
al menos,at least
tanto,so much; as much
cualquier,any
varios,several
alguno,some; any
ninguno,none; not any
ambos,both
demás,the rest; the others
propio,own
cierto,certain; true
tal,such
semejante,similar; such
medio,half; middle
entero,whole; entire
doble,double
único,only; unique
principal,main
general,general
particular,particular; private
rato; el rato,while; short time
siglo; el siglo,century
década; la década,decade
fecha; la fecha,date
futuro; el futuro,future
pasado; el pasado,past
presente; el presente,present
anteayer,day before yesterday
pasado mañana,day after tomorrow
anoche,last night
madrugada; la madrugada,early morning; dawn
amanecer; el amanecer,dawn; sunrise
actual,current; present
próximo,next
anterior,previous; former
siguiente,next; following
reciente,recent
antiguo,old; ancient
moderno,modern
diario,daily
semanal,weekly
mensual,monthly
anual,yearly; annual
puntual,punctual; on time
frecuente,frequent
adulto; el adulto,adult
adolescente; el adolescente,teenager
anciano; el anciano,elderly person
nieto; el nieto,grandson
nieta; la nieta,granddaughter
sobrino; el sobrino,nephew
sobrina; la sobrina,niece
suegro; el suegro,father-in-law
suegra; la suegra,mother-in-law
cuñado; el cuñado,brother-in-law
novio; el novio,boyfriend; groom
novia; la novia,girlfriend; bride
amistad; la amistad,friendship
amor; el amor,love
invitado; el invitado,guest
desconocido; el desconocido,stranger
compañía; la compañía,company; companionship
sociedad; la sociedad,society
grupo; el grupo,group
equipo; el equipo,team; equipment
miembro; el miembro,member
público; el público,public; audience
ciudadano; el ciudadano,citizen
población; la población,population
generación; la generación,generation
honesto,honest
sincero,sincere
generoso,generous
egoísta,selfish
valiente,brave
cobarde,cowardly
orgulloso,proud
celoso,jealous
paciente,patient
impaciente,impatient
educado,polite; well-mannered
maleducado,rude
responsable,responsible
cuidadoso,careful
curioso,curious
creativo,creative
sensible,sensitive
maduro,mature
gracioso,funny
agradable,pleasant; nice
desagradable,unpleasant
atractivo,attractive
elegante,elegant
moreno,dark-haired; tanned
rubio,blond
calvo,bald
barba; la barba,beard
bigote; el bigote,mustache
emoción; la emoción,emotion; excitement
sentimiento; el sentimiento,feeling
miedo; el miedo,fear
alegría; la alegría,joy
tristeza; la tristeza,sadness
sorpresa; la sorpresa,surprise
vergüenza; la vergüenza,shame; embarrassment
estrés; el estrés,stress
ánimo; el ánimo,mood; spirits
asustado,scared; frightened
sorprendido,surprised
emocionado,excited
enamorado,in love
deprimido,depressed
relajado,relaxed
confundido,confused
avergonzado,embarrassed
satisfecho,satisfied
asustar,to scare; to frighten
sorprender,to surprise
preocupar,to worry
molestar,to bother; to annoy
enfadarse,to get angry
alegrarse,to be glad; to cheer up
reír,to laugh
sonreír,to smile
llorar,to cry
rodilla; la rodilla,knee
hombro; el hombro,shoulder
cuello; el cuello,neck
codo; el codo,elbow
muñeca; la muñeca,wrist; doll
tobillo; el tobillo,ankle
uña; la uña,nail (finger)
labio; el labio,lip
lengua; la lengua,tongue; language
garganta; la garganta,throat
pecho; el pecho,chest
hueso; el hueso,bone
piel; la piel,skin
sangre; la sangre,blood
cerebro; el cerebro,brain
enfermedad; la enfermedad,illness; disease
gripe; la gripe,flu
tos; la tos,cough
herida; la herida,wound; injury
accidente; el accidente,accident
tratamiento; el tratamiento,treatment
receta; la receta,prescription; recipe
cita; la cita,appointment; date
dentista; el dentista,dentist
enfermero; el enfermero,nurse
ambulancia; la ambulancia,ambulance
curar,to cure; to heal
sufrir,to suffer
respirar,to breathe
cuidar,to take care of
sentir,to feel; to be sorry
bebida; la bebida,drink; beverage
ingrediente; el ingrediente,ingredient
sabor; el sabor,flavor; taste
olor; el olor,smell
harina; la harina,flour
mermelada; la mermelada,jam
miel; la miel,honey
yogur; el yogur,yogurt
nata; la nata,cream
salsa; la salsa,sauce
vinagre; el vinagre,vinegar
ajo; el ajo,garlic
lechuga; la lechuga,lettuce
pepino; el pepino,cucumber
pimiento; el pimiento,bell pepper
champiñón; el champiñón,mushroom
guisante; el guisante,pea
judía; la judía,bean
maíz; el maíz,corn
pera; la pera,pear
uva; la uva,grape
melón; el melón,melon
sandía; la sandía,watermelon
piña; la piña,pineapple
cereza; la cereza,cherry
melocotón; el melocotón,peach
nuez; la nuez,walnut; nut
gamba; la gamba,shrimp; prawn
marisco; el marisco,seafood; shellfish
ternera; la ternera,beef; veal
cordero; el cordero,lamb
salchicha; la salchicha,sausage
filete; el filete,steak; fillet
hamburguesa; la hamburguesa,hamburger
tarta; la tarta,cake; pie
caramelo; el caramelo,candy; sweet
hielo; el hielo,ice
copa; la copa,wine glass; drink
servilleta; la servilleta,napkin
salado,salty
amargo,bitter
picante,spicy; hot
fresco,fresh; cool
crudo,raw
asado,roasted
frito,fried
sabroso,tasty; delicious
hervir,to boil
freír,to fry
añadir,to add
cortar,to cut
mezclar,to mix
pelar,to peel
hogar; el hogar,home
mueble; el mueble,piece of furniture
estantería; la estantería,bookshelf
cajón; el cajón,drawer
cortina; la cortina,curtain
alfombra; la alfombra,carpet; rug
almohada; la almohada,pillow
manta; la manta,blanket
sábana; la sábana,sheet
colchón; el colchón,mattress
grifo; el grifo,tap; faucet
lavabo; el lavabo,sink; washbasin
bañera; la bañera,bathtub
enchufe; el enchufe,plug; socket
interruptor; el interruptor,switch
calefacción; la calefacción,heating
microondas; el microondas,microwave
lavavajillas; el lavavajillas,dishwasher
plancha; la plancha,iron
aspiradora; la aspiradora,vacuum cleaner
herramienta; la herramienta,tool
jabón; el jabón,soap
cepillo; el cepillo,brush
peine; el peine,comb
champú; el champú,shampoo
papelera; la papelera,wastebasket
cubo; el cubo,bucket; cube
vela; la vela,candle
cuadro; el cuadro,picture; painting
alquiler; el alquiler,rent
ayuntamiento; el ayuntamiento,town hall
comisaría; la comisaría,police station
quiosco; el quiosco,kiosk; newsstand
panadería; la panadería,bakery
carnicería; la carnicería,butcher's
peluquería; la peluquería,hairdresser's
librería; la librería,bookshop
zapatería; la zapatería,shoe shop
centro comercial; el centro comercial,shopping mall
gasolinera; la gasolinera,gas station
aparcamiento; el aparcamiento,parking lot
estadio; el estadio,stadium
catedral; la catedral,cathedral
castillo; el castillo,castle
monumento; el monumento,monument
fuente; la fuente,fountain; source
esquina; la esquina,corner (street)
acera; la acera,sidewalk; pavement
semáforo; el semáforo,traffic light
cruce; el cruce,crossroads; junction
edificio; el edificio,building
afueras; las afueras,outskirts; suburbs
capital; la capital,capital (city)
región; la región,region
provincia; la provincia,province
frontera; la frontera,border
transporte; el transporte,transport
vuelo; el vuelo,flight
asiento; el asiento,seat
