French,English
à tout à l'heure,see you later
à plus tard,see you soon; see you later
coucou,hi (informal)
bonne soirée,have a good evening
bon voyage,have a good trip
meilleurs vœux,best wishes
joyeux anniversaire,happy birthday
avec plaisir,with pleasure; gladly
je vous en prie,you're welcome (polite)
pas de problème,no problem
ça marche,that works; okay
tant pis,too bad; never mind
tant mieux,good; so much the better
bien sûr,of course
par exemple,for example
à mon avis,in my opinion
de toute façon,anyway; in any case
quand même,even so; anyway
lequel,which one
celui,the one (masculine)
celle,the one (feminine)
ceux,those (masculine)
chacun,each one
chaque,each; every
plusieurs,several
quelques,a few; some
certains,some; certain ones
aucun,none; not any
tous,all (plural)
toute,whole; all (feminine)
n'importe quoi,anything; nonsense
n'importe qui,anyone
partout,everywhere
ailleurs,elsewhere
quelque part,somewhere
nulle part,nowhere
dont,of which; whose
tel,such
contre,against
malgré,despite; in spite of
selon,according to
grâce à,thanks to
à cause de,because of
au lieu de,instead of
afin de,in order to
sauf,except
parmi,among
autour de,around
au-dessus de,above
au-dessous de,below
le long de,along
à travers,through; across
dès,from; as soon as
pourtant,however; yet
cependant,however
par contre,on the other hand
en effet,indeed
c'est pourquoi,that is why
tandis que,whereas; while
alors que,while; whereas
bien que,although
puisque,since; because
lorsque,when
dès que,as soon as
pendant que,while
au moins,at least
tout droit,straight ahead
au contraire,on the contrary
environ,about; approximately
surtout,especially; above all
plutôt,rather
presque,almost
tout à fait,completely; absolutely
absolument,absolutely
exactement,exactly
probablement,probably
heureusement,fortunately
malheureusement,unfortunately
finalement,finally; in the end
actuellement,currently; at present
généralement,generally
normalement,normally
évidemment,obviously
franchement,frankly
doucement,gently; slowly
facilement,easily
rapidement,quickly
puis,then
d'ailleurs,besides; moreover
par hasard,by chance
exprès,on purpose
volontiers,gladly; willingly
ainsi,thus; so
également,also; equally
notamment,notably; in particular
rarement,rarely
davantage,more
mieux,better
moitié; la moitié,half
quart; le quart,quarter
siècle; le siècle,century
instant; l'instant; un instant,instant; moment
époque; l'époque; une époque,era; period
avenir; l'avenir; un avenir,future
passé; le passé,past
présent; le présent,present
début; le début,beginning; start
fin; la fin,end
durée; la durée,duration; length
retard; le retard,delay; lateness
avance; l'avance; une avance,advance; lead
horaire; l'horaire; un horaire,schedule; timetable
calendrier; le calendrier,calendar
agenda; l'agenda; un agenda,planner; diary
veille; la veille,day before; eve
lendemain; le lendemain,next day
autrefois,formerly; in the past
désormais,from now on
récemment,recently
tout à coup,suddenly
soudain,suddenly
aussitôt,immediately
de temps en temps,from time to time
en retard,late
adulte; l'adulte; un adulte,adult
adolescent; l'adolescent; un adolescent,teenager
jeunesse; la jeunesse,youth
vie; la vie,life
mort; la mort,death
naissance; la naissance,birth
couple; le couple,couple
mariage; le mariage,marriage; wedding
fiancé; le fiancé,fiancé
célibataire; le célibataire,single person
génération; la génération,generation
inconnu; l'inconnu; un inconnu,stranger
invité; l'invité; un invité,guest
membre; le membre,member
groupe; le groupe,group
société; la société,society; company
population; la population,population
citoyen; le citoyen,citizen
caractère; le caractère,character; personality
comportement; le comportement,behavior
humeur; l'humeur; une humeur,mood
sourire; le sourire,smile
larme; la larme,tear
geste; le geste,gesture
attitude; l'attitude; une attitude,attitude
voisinage; le voisinage,neighborhood
petit ami; le petit ami,boyfriend
petite amie; la petite amie,girlfriend
amour; l'amour; un amour,love
amitié; l'amitié; une amitié,friendship
bonheur; le bonheur,happiness
joie; la joie,joy
tristesse; la tristesse,sadness
peur; la peur,fear
colère; la colère,anger
surprise; la surprise,surprise
espoir; l'espoir; un espoir,hope
inquiétude; l'inquiétude; une inquiétude,worry
stress; le stress,stress
fatigue; la fatigue,tiredness
ennui; l'ennui; un ennui,boredom; trouble
envie; l'envie; une envie,desire; wish
rêve; le rêve,dream
pensée; la pensée,thought
sentiment; le sentiment,feeling
émotion; l'émotion; une émotion,emotion
confiance; la confiance,trust; confidence
courage; le courage,courage
honte; la honte,shame
fierté; la fierté,pride
passion; la passion,passion
souvenir; le souvenir,memory; souvenir
boisson; la boisson,drink; beverage
plat; le plat,dish; course
entrée; l'entrée; une entrée,starter; entrance
dessert; le dessert,dessert
recette; la recette,recipe
ingrédient; l'ingrédient; un ingrédient,ingredient
farine; la farine,flour
huile; l'huile; une huile,oil
vinaigre; le vinaigre,vinegar
poivre; le poivre,pepper
épice; l'épice; une épice,spice
sauce; la sauce,sauce
miel; le miel,honey
yaourt; le yaourt,yogurt
crème; la crème,cream
bœuf; le bœuf,beef
porc; le porc,pork
veau; le veau,veal
saucisse; la saucisse,sausage
crevette; la crevette,shrimp; prawn
champignon; le champignon,mushroom
haricot; le haricot,bean
concombre; le concombre,cucumber
courgette; la courgette,zucchini; courgette
poivron; le poivron,bell pepper
ail; l'ail; un ail,garlic
citron; le citron,lemon
pêche; la pêche,peach
poire; la poire,pear
raisin; le raisin,grape
cerise; la cerise,cherry
ananas; l'ananas; un ananas,pineapple
melon; le melon,melon
noix; la noix,nut; walnut
biscuit; le biscuit,cookie; biscuit
bonbon; le bonbon,candy; sweet
tarte; la tarte,pie; tart
crêpe; la crêpe,crepe; pancake
goût; le goût,taste; flavor
morceau; le morceau,piece
meuble; le meuble,piece of furniture
étagère; l'étagère; une étagère,shelf
tiroir; le tiroir,drawer
rideau; le rideau,curtain
tapis; le tapis,rug; carpet
coussin; le coussin,cushion
couverture; la couverture,blanket; cover
drap; le drap,sheet
oreiller; l'oreiller; un oreiller,pillow
miroir; le miroir,mirror
évier; l'évier; un évier,sink (kitchen)
robinet; le robinet,tap; faucet
baignoire; la baignoire,bathtub
machine à laver; la machine à laver,washing machine
aspirateur; l'aspirateur; un aspirateur,vacuum cleaner
outil; l'outil; un outil,tool
marteau; le marteau,hammer
ampoule; l'ampoule; une ampoule,light bulb
prise; la prise,socket; plug
chauffage; le chauffage,heating
toit; le toit,roof
cave; la cave,cellar; basement
garage; le garage,garage
couloir; le couloir,hallway; corridor
plafond; le plafond,ceiling
pièce; la pièce,room; coin
balai; le balai,broom
poussière; la poussière,dust
ménage; le ménage,housework; household
objet; l'objet; un objet,object
endroit; l'endroit; un endroit,place; spot
coin; le coin,corner
quartier; le quartier,neighborhood; district
immeuble; l'immeuble; un immeuble,building; block
bâtiment; le bâtiment,building
pont; le pont,bridge
trottoir; le trottoir,sidewalk; pavement
carrefour; le carrefour,crossroads; intersection
panneau; le panneau,sign; panel
chemin; le chemin,path; way
route; la route,road
autoroute; l'autoroute; une autoroute,highway; motorway
direction; la direction,direction
distance; la distance,distance
gauche; la gauche,left
droite; la droite,right (direction)
nord; le nord,north
sud; le sud,south
est; l'est; un est,east
ouest; l'ouest; un ouest,west
feu rouge; le feu rouge,traffic light; red light
plan; le plan,map (city); plan
tour; la tour,tower
château; le château,castle
séjour; le séjour,stay
vol; le vol,flight; theft
siège; le siège,seat
ceinture; la ceinture,belt; seatbelt
conducteur; le conducteur,driver
piéton; le piéton,pedestrian
circulation; la circulation,traffic
embouteillage; l'embouteillage; un embouteillage,traffic jam
essence; l'essence; une essence,gasoline; petrol
parking; le parking,parking lot; car park
péage; le péage,toll
itinéraire; l'itinéraire; un itinéraire,route; itinerary
destination; la destination,destination
quai; le quai,platform; quay
guichet; le guichet,ticket window; counter
douane; la douane,customs
frontière; la frontière,border
auberge; l'auberge; une auberge,inn; hostel
camping; le camping,campsite; camping
tente; la tente,tent
réception; la réception,reception; front desk
