Japanese,Kana,English
現像,げんぞう,developing (film)
原則,げんそく,principle; general rule
見地,けんち,point of view
現地,げんち,actual place; local
限定,げんてい,limit; restriction
原点,げんてん,origin (coordinates starting point)
原典,げんてん,original; source
原爆,げんばく,atomic bomb
原文,げんぶん,the text; original
厳密,げんみつ,strict; close
賢明,けんめい,wisdom; intelligence; prudence
倹約,けんやく,thrift; economy; frugality
原油,げんゆ,crude oil
兼用,けんよう,multi-use; combined use
権力,けんりょく,(political) power; authority; influence
言論,げんろん,discussion; speech
故～,こ～,deceased; late
語彙,ごい,vocabulary; glossary
恋する,こいする,to fall in love with; to love
甲,こう,1st in rank; shell
～光,～こう,light
好意,こうい,good will; favor; courtesy
行為,こうい,act; deed; conduct
合意,ごうい,agreement; consent; mutual understanding
工学,こうがく,engineering
抗議,こうぎ,protest; objection
合議,ごうぎ,consultation; conference
皇居,こうきょ,Imperial Palace
好況,こうきょう,prosperous conditions; healthy economy
鉱業,こうぎょう,mining industry
興業,こうぎょう,starting a business; industry
高原,こうげん,tableland; plateau
交互,こうご,mutual; reciprocal; alternate
煌々と,こうこうと,brightly
考古学,こうこがく,archeology
工作,こうさく,handicraft; maneuvering
耕作,こうさく,cultivation; farming
鉱山,こうざん,mine
講習,こうしゅう,short course; training
口述,こうじゅつ,verbal statement
控除,こうじょ,deduction; exemption; subtraction
交渉,こうしょう,negotiation
高尚,こうしょう,high; noble; refined
向上,こうじょう,rise; improvement; progress
行進,こうしん,march; parade
香辛料,こうしんりょう,spices
降水,こうすい,rainfall; precipitation
洪水,こうずい,flood
合成,ごうせい,synthetic; mixed
公然,こうぜん,openly
抗争,こうそう,dispute; resistance
構想,こうそう,plan; plot; idea; conception
後退,こうたい,retreat; backspace
光沢,こうたく,luster; glossy finish (of photographs)
公団,こうだん,public corporation
好調,こうちょう,satisfactory; in good shape
口頭,こうとう,oral
講読,こうどく,reading
購読,こうどく,subscription
購入,こうにゅう,purchase; buy
公認,こうにん,official recognition; authorization
光熱費,こうねつひ,cost of fuel and light
購買,こうばい,purchase; buy
好評,こうひょう,popularity; favorable reputation
交付,こうふ,delivering; furnishing (with copies)
公募,こうぼ,public appeal; public contribution
巧妙,こうみょう,ingenious; skillful; clever
公用,こうよう,government business; public use; public expense
小売,こうり,retail
効率,こうりつ,efficiency
公立,こうりつ,public institution
護衛,ごえい,guard; convoy; escort
コーナー,コーナー,corner
小柄,こがら,small; diminutive
小切手,こぎって,cheque; check
国産,こくさん,domestic products
国定,こくてい,state-sponsored; national
告白,こくはく,confession; acknowledgment
国防,こくぼう,national defense
国有,こくゆう,national ownership
極楽,ごくらく,paradise
国連,こくれん,U.N.; United Nations
焦げ茶,こげちゃ,dark brown
語源,ごげん,word root; word derivation; etymology
心地,ここち,feeling; sensation; mood
心得,こころえ,knowledge; information
心掛け,こころがけ,readiness; intention; aim
心掛ける,こころがける,to bear in mind; to aim to do
志,こころざし,will; intention; motive
志す,こころざす,to plan; to intend; to aspire to
心強い,こころづよい,heartening; reassuring
心細い,こころぼそい,helpless; hopeless; discouraging
試み,こころみ,trial; experiment
試みる,こころみる,to try; to test
快い,こころよい,pleasant; agreeable
誤差,ごさ,error
ございます (かん),ございます (かん),to be (polite to exist)
孤児,こじ,orphan
こじれる,こじれる,to get complicated; to grow worse
こす (みずを～),こす (みずを～),to strain; to filter
梢,こずえ,treetop
個性,こせい,individuality; personality; idiosyncrasy
戸籍,こせき,census; family register
古代,こだい,ancient times
こたつ,こたつ,table with heater; (originally) charcoal brazier in a floor well
こだわる,こだわる,to fuss over; to be particular about
誇張,こちょう,exaggeration
こつ (をつかむ),こつ (をつかむ),secret; trick; hang
滑稽,こっけい,funny; humorous; comical
国交,こっこう,diplomatic relations
骨董品,こっとうひん,curio
固定,こてい,fixation; fixing (e.g. salary capital)
事柄,ことがら,matter; thing; affair; circumstance
孤独,こどく,isolation; loneliness; solitude
ことごとく,ことごとく,altogether; entirely
言付け,ことづけ,to leave a message
殊に,ことに,especially; above all
粉々,こなごな,in very small pieces
好ましい,このましい,nice; likable; desirable
碁盤,ごばん,Go board
個別,こべつ,particular case
ごまかす,ごまかす,to deceive; to falsify; to misrepresent
細やか,こまやか,meager; modest
コマーシャル,コマーシャル,a commercial
込める,こめる,to include; to put into
コメント,コメント,comment
籠もる,こもる,to seclude oneself; to be confined in
固有,こゆう,characteristic; tradition; peculiar
暦,こよみ,calendar; almanac
凝らす,こらす,to concentrate; to devote; to peer into
ごらんなさい (かん),ごらんなさい (かん),look; (please) try to do
孤立,こりつ,isolation; helplessness
懲りる,こりる,to learn by experience; to be disgusted with
凝る,こる,to stiffen; to harden
根気,こんき,patience; perseverance; energy
根拠,こんきょ,basis; foundation
混血,こんけつ,mixed race; mixed parentage
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens
昆虫,こんちゅう,insect; bug
根底,こんてい,root; basis; foundation
混同,こんどう,confusion; mixing; merger
コントラスト,コントラスト,contrast
コントロール,コントロール,control
コンパス,コンパス,compass
根本,こんぽん,foundation; root; base
財,ざい,fortune; riches
再会,さいかい,meeting again; reunion
災害,さいがい,calamity; disaster; misfortune
細菌,さいきん,bacillus; bacterium; germ
細工,さいく,work; craftsmanship; trick
採掘,さいくつ,mining
