German,English
Mensch; der Mensch,human; person
Erwachsene; der Erwachsene,adult
Jugendliche; der Jugendliche,teenager
Junge; der Junge,boy
Mädchen; das Mädchen,girl
Ehemann; der Ehemann,husband
Ehefrau; die Ehefrau,wife
Ehepaar; das Ehepaar,married couple
Paar; das Paar,couple; pair
Partner; der Partner,partner
Partnerin; die Partnerin,partner (female)
Cousin; der Cousin,cousin (male)
Cousine; die Cousine,cousin (female)
Neffe; der Neffe,nephew
Nichte; die Nichte,niece
Enkel; der Enkel,grandson
Enkelin; die Enkelin,granddaughter
Schwiegermutter; die Schwiegermutter,mother-in-law
Schwiegervater; der Schwiegervater,father-in-law
Gast; der Gast,guest
Bekannte; der Bekannte,acquaintance
Nachbarin; die Nachbarin,neighbour (female)
Chefin; die Chefin,boss (female)
Mitarbeiter; der Mitarbeiter,employee; coworker
Gruppe; die Gruppe,group
Team; das Team,team
Verein; der Verein,club; association
Mitglied; das Mitglied,member
höflich,polite
ehrlich,honest
fleißig,hard-working
faul,lazy
pünktlich,punctual
geduldig,patient
neugierig,curious
mutig,brave
vorsichtig,careful
verrückt,crazy
ernst,serious
streng,strict
sympathisch,likeable
beliebt,popular
berühmt,famous
hübsch,pretty
hässlich,ugly
schlank,slim
dick,fat; thick
dünn,thin
selbstständig,independent
zufrieden,satisfied; content
stolz,proud
eifersüchtig,jealous
schüchtern,shy
gemütlich,cosy
wütend,furious; angry
aufgeregt,excited; nervous
enttäuscht,disappointed
überrascht,surprised
ängstlich,anxious
erschöpft,exhausted
verliebt,in love
einsam,lonely
froh,glad
Stimmung; die Stimmung,mood
Laune; die Laune,mood; temper
Wut; die Wut,rage; anger
Sorge; die Sorge,worry; concern
Hoffnung; die Hoffnung,hope
Traum; der Traum,dream
Wunsch; der Wunsch,wish
Überraschung; die Überraschung,surprise
Bauch; der Bauch,belly; stomach
Rücken; der Rücken,back
Schulter; die Schulter,shoulder
Knie; das Knie,knee
Zunge; die Zunge,tongue
Lippe; die Lippe,lip
Haut; die Haut,skin
Knochen; der Knochen,bone
Blut; das Blut,blood
Gesundheit; die Gesundheit,health
Krankheit; die Krankheit,illness
Erkältung; die Erkältung,cold (illness)
Grippe; die Grippe,flu
Husten; der Husten,cough
Schnupfen; der Schnupfen,runny nose
Kopfschmerzen; die Kopfschmerzen,headache
Verletzung; die Verletzung,injury
Wunde; die Wunde,wound
Krankenwagen; der Krankenwagen,ambulance
